City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,Mahebourg,-20.4081,57.7,82.69,78,75,12.66,MU,2022-02-08 05:05:06
89,Luderitz,-26.6481,15.1594,71.11,71,23,4.61,NA,2022-02-08 05:05:06
90,Nome,64.5011,-165.4064,-20.67,87,7,11.81,US,2022-02-08 05:01:58
91,Bethel,41.3712,-73.414,37.26,93,100,4.7,US,2022-02-08 05:05:07
92,Jinxiang,27.4327,120.6062,50.54,70,67,13.78,CN,2022-02-08 05:05:07
93,Tasiilaq,65.6145,-37.6368,23.16,77,100,7.45,GL,2022-02-08 05:03:11
94,Goderich,43.7501,-81.7165,29.91,80,100,11.5,CA,2022-02-08 05:02:03
95,Upernavik,72.7868,-56.1549,-12.66,94,100,14.18,GL,2022-02-08 05:05:08
96,Codrington,-38.2667,141.9667,88.23,19,48,8.59,AU,2022-02-08 05:05:08
97,Kirovskiy,45.0917,133.5136,17.13,80,62,5.1,RU,2022-02-08 05:05:08
98,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,72.54,100,100,1.95,BR,2022-02-08 05:01:06
99,Gravdal,68.1214,13.5031,35.49,64,75,13.8,NO,2022-02-08 05:05:09
100,Grand-Lahou,5.1367,-5.0242,77.58,89,84,5.46,CI,2022-02-08 05:05:09
101,Namibe,-15.1961,12.1522,70.86,84,97,8.16,AO,2022-02-08 05:05:10
102,Chau Doc,10.7,105.1167,89.73,51,91,5.86,VN,2022-02-08 05:05:10
103,Severo-Yeniseyskiy,60.3725,93.0408,-7.55,90,90,4.43,RU,2022-02-08 05:02:24
104,Beira,-19.8436,34.8389,78.89,83,40,10.36,MZ,2022-02-08 05:05:11
105,Varzea Da Palma,-17.5981,-44.7308,68.54,92,100,0.56,BR,2022-02-08 05:05:12
106,Esfahan,32.6572,51.6776,22.64,34,0,4.09,IR,2022-02-08 05:00:59
107,Tuatapere,-46.1333,167.6833,59.83,53,0,8.48,NZ,2022-02-08 05:05:12
108,Lincoln,40.8,-96.667,43.02,48,3,3.0,US,2022-02-08 05:01:31
109,Alofi,-19.0595,-169.9187,78.49,72,100,11.56,NU,2022-02-08 05:05:13
110,Port-Cartier,50.0334,-66.8654,13.75,96,100,7.4,CA,2022-02-08 05:05:13
111,Peniche,39.3558,-9.3811,52.74,58,0,11.41,PT,2022-02-08 05:05:14
112,Mar Del Plata,-38.0023,-57.5575,63.88,77,0,1.01,AR,2022-02-08 05:05:14
113,Caravelas,-17.7125,-39.2481,75.97,89,47,5.01,BR,2022-02-08 05:05:14
114,Sambava,-14.2667,50.1667,80.67,70,48,2.66,MG,2022-02-08 05:05:15
115,Monte Patria,-30.6919,-70.9467,70.27,57,0,1.57,CL,2022-02-08 05:01:37
116,Rio Gallegos,-51.6226,-69.2181,57.25,54,40,19.57,AR,2022-02-08 05:05:15
117,Kununurra,-15.7667,128.7333,93.18,55,100,3.44,AU,2022-02-08 05:05:16
118,Quelimane,-17.8786,36.8883,75.56,80,21,4.85,MZ,2022-02-08 05:05:16
119,Kloulklubed,7.0419,134.2556,84.7,78,96,21.9,PW,2022-02-08 05:05:16
120,Nanortalik,60.1432,-45.2371,10.2,68,76,54.6,GL,2022-02-08 05:05:17
121,Bima,-8.4667,118.7167,84.22,76,100,4.16,ID,2022-02-08 05:05:17
122,Mount Gambier,-37.8333,140.7667,89.65,17,67,8.5,AU,2022-02-08 05:05:18
123,Ribeira Grande,38.5167,-28.7,59.77,72,99,7.23,PT,2022-02-08 05:05:18
124,Gat,31.61,34.7642,52.39,100,31,4.5,IL,2022-02-08 05:05:19
125,Ambilobe,-13.2,49.05,79.93,82,59,4.72,MG,2022-02-08 05:05:19
126,Brawley,32.9787,-115.5303,59.49,30,0,0.0,US,2022-02-08 05:05:19
127,Sao Francisco,-15.9486,-44.8644,69.44,97,100,2.46,BR,2022-02-08 05:05:20
128,Valdivia,-39.8142,-73.2459,55.24,81,100,1.7,CL,2022-02-08 05:03:46
129,Marsabit,2.3284,37.9899,65.55,60,85,15.93,KE,2022-02-08 05:05:22
130,Saint Anthony,45.0205,-93.218,15.93,75,0,9.22,US,2022-02-08 05:02:46
131,Ilulissat,69.2167,-51.1,-0.38,85,75,24.16,GL,2022-02-08 05:05:23
132,Kharitonovo,61.4009,47.4978,9.18,97,100,4.0,RU,2022-02-08 05:05:23
133,Carnarvon,-24.8667,113.6333,86.05,36,0,17.63,AU,2022-02-08 05:05:23
134,Galle,6.0367,80.217,82.92,67,88,4.99,LK,2022-02-08 05:05:24
135,Avarua,-21.2078,-159.775,78.85,83,95,10.36,CK,2022-02-08 05:05:24
136,Namatanai,-3.6667,152.4333,85.51,67,62,6.91,PG,2022-02-08 05:05:25
137,Saint George,37.1041,-113.5841,52.36,35,0,4.0,US,2022-02-08 05:05:24
138,Cooma,-36.2333,149.1333,72.77,29,97,4.0,AU,2022-02-08 05:05:25
139,Byron Bay,-28.65,153.6167,78.75,60,47,10.25,AU,2022-02-08 05:05:26
140,Barcelos,41.5388,-8.6151,53.85,64,2,6.35,PT,2022-02-08 05:05:26
141,Vostok,46.4856,135.8833,11.25,84,100,8.28,RU,2022-02-08 05:05:26
